Source.Port,Destination.Port,URG.Flag.Count,min_seg_size_forward,L7Protocol,ProtocolName
63640,3128,1,20,130,HTTP_CONNECT
56966,80,0,32,7,HTTP
49412,3128,0,20,131,HTTP_PROXY
4908,3128,0,20,130,HTTP_CONNECT
44901,8089,0,32,7,HTTP
51234,3128,0,20,131,HTTP_PROXY
51242,53,0,20,5,DNS
3128,52508,0,20,131,HTTP_PROXY
50143,3128,0,20,131,HTTP_PROXY
60131,443,0,32,126,GOOGLE
50222,3128,0,32,126,GOOGLE
39615,80,0,32,7,HTTP
41697,8089,0,32,7,HTTP
45385,443,1,32,126,GOOGLE
55668,3128,1,20,126,GOOGLE
51089,3128,0,20,131,HTTP_PROXY
54512,3128,0,20,7,HTTP
3128,64369,0,20,131,HTTP_PROXY
62625,3128,0,20,70,YAHOO
443,45761,0,32,126,GOOGLE
57317,3128,0,20,131,HTTP_PROXY
48452,443,0,32,91,SSL
52188,80,1,32,7,HTTP
43809,443,1,20,91,SSL
52792,443,0,32,91,SSL
43115,443,1,32,178,AMAZON
55790,443,0,32,91,SSL
55836,443,1,32,126,GOOGLE
50676,3128,0,20,126,GOOGLE
3128,49911,1,20,7,HTTP
51494,3128,0,20,131,HTTP_PROXY
3128,50904,0,20,131,HTTP_PROXY
3128,56763,1,20,7,HTTP
50682,3128,0,20,130,HTTP_CONNECT
51231,3128,0,20,142,WHATSAPP
45296,443,0,32,126,GOOGLE
35215,443,0,32,126,GOOGLE
50541,443,0,32,91,SSL
33283,443,0,32,91,SSL
34392,443,0,32,124,YOUTUBE
59528,443,0,32,126,GOOGLE
52565,3128,0,20,126,GOOGLE
2353,3128,0,20,122,GMAIL
40940,443,1,32,70,YAHOO
3128,2437,1,32,7,HTTP
3128,51805,0,20,131,HTTP_PROXY
49794,3128,0,20,130,HTTP_CONNECT
48080,443,1,32,91,SSL
49680,3128,0,32,130,HTTP_CONNECT
53294,3128,0,20,131,HTTP_PROXY
51616,443,0,32,91,SSL
55250,443,0,32,91,SSL
3128,54637,1,20,7,HTTP
58501,443,0,32,91,SSL
41141,443,0,32,120,TWITTER
62657,3128,0,20,130,HTTP_CONNECT
54152,3128,1,20,126,GOOGLE
51621,3128,0,20,131,HTTP_PROXY
34056,443,0,32,126,GOOGLE
42356,80,0,32,7,HTTP
3128,45418,0,32,131,HTTP_PROXY
59648,443,1,32,91,SSL
49293,3128,0,20,219,OFFICE_365
56494,3128,0,20,131,HTTP_PROXY
47816,443,0,32,126,GOOGLE
36032,80,0,20,7,HTTP
57894,3128,0,20,130,HTTP_CONNECT
57082,443,1,32,124,YOUTUBE
60404,3128,0,20,7,HTTP
53242,443,0,32,126,GOOGLE
61639,3128,0,20,126,GOOGLE
36334,443,1,32,91,SSL
50477,3128,0,20,131,HTTP_PROXY
50720,443,0,20,91,SSL
3128,50978,1,20,131,HTTP_PROXY
34901,443,1,32,120,TWITTER
34552,443,0,32,91,SSL
59816,443,0,32,126,GOOGLE
41801,443,1,32,126,GOOGLE
50565,3128,0,20,126,GOOGLE
3128,1669,1,32,7,HTTP
54455,3128,1,20,212,MICROSOFT
34840,443,1,20,91,SSL
49231,3128,0,20,131,HTTP_PROXY
49540,3128,0,20,131,HTTP_PROXY
44232,5228,0,32,126,GOOGLE
3926,3128,0,32,130,HTTP_CONNECT
49553,3128,0,20,126,GOOGLE
3128,3978,1,20,7,HTTP
51177,443,0,32,126,GOOGLE
36620,443,0,32,126,GOOGLE
51501,3128,0,20,130,HTTP_CONNECT
54989,3128,0,20,126,GOOGLE
54554,3128,0,20,126,GOOGLE
3128,51197,1,32,7,HTTP
3128,58515,1,32,7,HTTP
3683,3128,0,20,130,HTTP_CONNECT
49221,443,1,32,124,YOUTUBE
39598,80,0,32,178,AMAZON
58216,3128,0,20,126,GOOGLE
48162,443,0,32,126,GOOGLE
49972,3128,1,32,126,GOOGLE
43783,80,0,32,7,HTTP
39468,443,0,32,91,SSL
49957,3128,0,20,124,YOUTUBE
65210,3128,0,20,126,GOOGLE
46181,80,0,32,7,HTTP
38653,2221,0,32,7,HTTP
33672,3128,0,32,126,GOOGLE
60761,80,1,32,220,CLOUDFLARE
56081,3128,0,20,130,HTTP_CONNECT
49203,443,0,32,125,SKYPE
60669,443,0,32,124,YOUTUBE
59688,443,0,32,212,MICROSOFT
3060,3128,0,20,126,GOOGLE
50844,3128,0,20,126,GOOGLE
56913,3128,0,20,130,HTTP_CONNECT
443,37841,1,32,126,GOOGLE
3128,50059,1,20,7,HTTP
3128,56001,0,20,131,HTTP_PROXY
35586,443,1,32,126,GOOGLE
443,33470,0,32,126,GOOGLE
52715,3128,0,20,122,GMAIL
3128,51287,0,20,7,HTTP
55501,443,1,32,126,GOOGLE
35286,443,0,20,91,SSL
3128,52219,1,20,7,HTTP
53991,3128,1,20,147,WINDOWS_UPDATE
53824,2221,1,32,7,HTTP
51491,80,0,32,178,AMAZON
54853,443,0,32,126,GOOGLE
3128,51174,0,20,7,HTTP
3128,50052,0,20,131,HTTP_PROXY
3128,62695,1,20,7,HTTP
38997,80,0,32,126,GOOGLE
42156,443,1,32,91,SSL
39857,443,0,32,91,SSL
51934,443,1,32,126,GOOGLE
3128,53441,1,20,7,HTTP
54913,80,0,32,7,HTTP
54884,3128,0,20,131,HTTP_PROXY
49881,3128,0,20,7,HTTP
53683,443,0,32,126,GOOGLE
49893,3128,0,20,131,HTTP_PROXY
54763,3128,0,20,124,YOUTUBE
3128,51611,1,20,131,HTTP_PROXY
33257,443,0,32,212,MICROSOFT
50891,3128,0,20,126,GOOGLE
46243,80,0,32,7,HTTP
44836,443,0,32,126,GOOGLE
